0	0	4056
1	0	4045
2	0	303
3	0	4070
4	0	324
5	1	2332
6	0	222
7	0	4767
8	0	222
9	1	2317
10	0	2830
11	0	302
12	0	4093
13	0	571
14	0	3967
15	0	304
16	0	3904
17	0	563
18	1	2845
19	0	637
20	1	2843
21	0	636
22	1	2845
23	0	634
24	1	2848
25	0	636
26	1	2848
27	0	301
28	0	635
29	0	301
30	1	2805
31	0	634
32	1	2846
33	0	638
34	1	2843
35	0	636
36	1	2846
37	0	635
38	1	2846
39	0	386
40	0	636
41	0	385
42	1	2845
43	0	636
44	1	2847
45	0	635
46	1	2843
47	0	638
48	1	2847
49	0	634
50	1	2844
51	0	301
52	0	639
53	0	301
54	1	2808
55	0	658
56	1	2831
57	0	614
58	1	2808
59	0	635
60	1	2844
61	0	638
62	1	2846
63	0	387
64	0	634
65	0	387
66	1	2837
67	0	636
68	1	2848
69	0	635
70	1	2845
71	0	636
72	1	2846
73	0	636
74	1	2848
