0	0	4053
1	0	2716
2	0	304
3	0	2733
4	0	321
5	1	988
6	0	218
7	0	3413
8	0	222
9	1	987
10	0	2833
11	0	301
12	0	2734
13	0	571
14	0	2610
15	0	303
16	0	2571
17	0	559
18	1	1472
19	0	634
20	1	1470
21	0	635
22	1	1474
23	0	633
24	1	1475
25	0	634
26	1	1473
27	0	303
28	0	635
29	0	302
30	1	1471
31	0	634
32	1	1471
33	0	634
34	1	1472
35	0	637
36	1	1474
37	0	634
38	1	1471
39	0	385
40	0	633
41	0	383
42	1	1471
43	0	636
44	1	1471
45	0	634
46	1	1473
47	0	636
48	1	1470
49	0	635
50	1	1470
51	0	303
52	0	634
53	0	301
54	1	1472
55	0	657
56	1	1478
57	0	614
58	1	1470
59	0	636
60	1	1470
61	0	637
62	1	1470
63	0	387
64	0	635
65	0	385
66	1	1472
67	0	635
68	1	1471
69	0	636
70	1	1472
71	0	638
72	1	1470
73	0	636
74	1	1472
