0	0	0	0	30	0	0	-30	30
1	0	0	0	30	-30	30	-30	-30
1	0	0	0	30	-30	-30	30	-30
1	0	0	0	30	30	-30	30	30
1	0	0	0	30	30	30	-30	30
0	0	0	0	30	-30	30	-26	26
1	0	0	0	30	-26	26	-26	-26
1	0	0	0	30	-26	-26	26	-26
1	0	0	0	30	26	-26	26	26
1	0	0	0	30	26	26	-26	26
0	0	0	0	30	-26	26	-22	22
1	0	0	0	30	-22	22	-22	-22
1	0	0	0	30	-22	-22	22	-22
1	0	0	0	30	22	-22	22	22
1	0	0	0	30	22	22	-22	22
0	0	0	0	30	-22	22	-18	18
1	0	0	0	30	-18	18	-18	-18
1	0	0	0	30	-18	-18	18	-18
1	0	0	0	30	18	-18	18	18
1	0	0	0	30	18	18	-18	18
0	0	0	0	30	-18	18	-14	14
1	0	0	0	30	-14	14	-14	-14
1	0	0	0	30	-14	-14	14	-14
1	0	0	0	30	14	-14	14	14
1	0	0	0	30	14	14	-14	14
0	0	0	0	30	-14	14	-10	10
1	0	0	0	30	-10	10	-10	-10
1	0	0	0	30	-10	-10	10	-10
1	0	0	0	30	10	-10	10	10
1	0	0	0	30	10	10	-10	10
0	0	0	0	30	-10	10	-6	6
1	0	0	0	30	-6	6	-6	-6
1	0	0	0	30	-6	-6	6	-6
1	0	0	0	30	6	-6	6	6
1	0	0	0	30	6	6	-6	6
0	0	0	0	30	-6	6	-2	2
1	0	0	0	30	-2	2	-2	-2
1	0	0	0	30	-2	-2	2	-2
1	0	0	0	30	2	-2	2	2
1	0	0	0	30	2	2	-2	2
