0	0	0	-0.0119	0.0007	0.0007	-0.0238	0.0015	0.0015	-0.0358	0.0022	0.0022	-0.0477	0.003	0.003	-0.0533	0.0032	0.0032	-0.0528	0.0034	0.0034	-0.0523	0.0036	0.0036	-0.0519	0.0037	0.0037	-0.0514	0.0039	0.0039	-0.0542	0.0043	0.0043	-0.057	0.0047	0.0047	-0.0599	0.0051	0.0051	-0.0627	0.0055	0.0055	-0.0629	0.0045	0.0045	-0.0651	0.0048	0.0048	-0.0672	0.0051	0.0051	-0.0694	0.0054	0.0054	-0.0716	0.0058	0.0058
-0.0136	0.0002	0.0002	-0.0267	0.0001	0.0001	-0.0385	0.0007	0.0007	-0.0504	0.0013	0.0013	-0.0622	0.002	0.002	-0.0658	0.0018	0.0018	-0.0641	0.0029	0.0029	-0.0625	0.004	0.004	-0.0609	0.0051	0.0051	-0.0651	0.0043	0.0043	-0.0692	0.0037	0.0037	-0.0719	0.0039	0.0039	-0.0747	0.0042	0.0042	-0.0775	0.0045	0.0045	-0.0754	0.0019	0.0019	-0.0782	0.0025	0.0025	-0.0809	0.003	0.003	-0.0836	0.0036	0.0036	-0.085	0.0067	0.0067
-0.0273	0.0005	0.0005	-0.0401	0.0006	0.0006	-0.0515	0.0023	0.0023	-0.063	0.0017	0.0017	-0.0745	0.0011	0.0011	-0.0807	0.002	0.002	-0.0785	0.003	0.003	-0.0763	0.0041	0.0041	-0.0742	0.0064	0.0064	-0.0788	0.0047	0.0047	-0.0825	0.0043	0.0043	-0.0891	0.0047	0.0047	-0.0898	0.0043	0.0043	-0.0906	0.0038	0.0038	-0.09	0.0033	0.0033	-0.0925	0.0038	0.0038	-0.095	0.0043	0.0043	-0.0972	0.0048	0.0048	-0.0983	0.0076	0.0076
-0.0409	0.0007	0.0007	-0.0535	0.0012	0.0012	-0.0651	0.0032	0.0032	-0.0791	0.0015	0.0015	-0.0889	0.0032	0.0032	-0.0938	0.0038	0.0038	-0.0927	0.0056	0.0056	-0.0895	0.0056	0.0056	-0.0876	0.0077	0.0077	-0.0925	0.0051	0.0051	-0.0959	0.005	0.005	-0.102	0.0056	0.0056	-0.1055	0.0065	0.0065	-0.1047	0.0062	0.0062	-0.1034	0.0053	0.0053	-0.106	0.0056	0.0056	-0.1083	0.006	0.006	-0.1109	0.006	0.006	-0.1118	0.0085	0.0085
-0.0546	0.001	0.001	-0.0669	0.0017	0.0017	-0.0787	0.004	0.004	-0.0931	0.0024	0.0024	-0.1027	0.0045	0.0045	-0.105	0.0009	0.0009	-0.1057	0.0069	0.0069	-0.1027	0.007	0.007	-0.1009	0.0091	0.0091	-0.1063	0.0054	0.0054	-0.1093	0.0055	0.0055	-0.115	0.0063	0.0063	-0.1198	0.0073	0.0073	-0.1183	0.0076	0.0076	-0.1151	0.0042	0.0042	-0.1194	0.0067	0.0067	-0.1215	0.0076	0.0076	-0.1246	0.007	0.007	-0.1252	0.0093	0.0093
-0.0692	0.0034	0.0034	-0.0809	0.0039	0.0039	-0.0915	0.0056	0.0056	-0.106	0.0027	0.0027	-0.1152	0.0059	0.0059	-0.1205	0.006	0.006	-0.1192	0.0078	0.0078	-0.1158	0.0086	0.0086	-0.1144	0.0109	0.0109	-0.1212	0.007	0.007	-0.1228	0.0084	0.0084	-0.128	0.0081	0.0081	-0.1328	0.0081	0.0081	-0.1313	0.009	0.009	-0.1312	0.0085	0.0085	-0.1329	0.0084	0.0084	-0.1354	0.0084	0.0084	-0.1379	0.009	0.009	-0.1391	0.0113	0.0113
-0.0837	0.0031	0.0031	-0.0949	0.0037	0.0037	-0.1058	0.0054	0.0054	-0.1203	0.0039	0.0039	-0.13	0.0064	0.0064	-0.1324	0.0074	0.0074	-0.1337	0.0101	0.0101	-0.1304	0.0094	0.0094	-0.1286	0.011	0.011	-0.1355	0.0071	0.0071	-0.1372	0.0085	0.0085	-0.143	0.0087	0.0087	-0.1471	0.0105	0.0105	-0.1459	0.0101	0.0101	-0.1438	0.0098	0.0098	-0.1474	0.0107	0.0107	-0.1496	0.0093	0.0093	-0.1525	0.0092	0.0092	-0.1535	0.0111	0.0111
-0.0982	0.0029	0.0029	-0.1088	0.0034	0.0034	-0.1201	0.0052	0.0052	-0.1324	0.006	0.006	-0.1448	0.0068	0.0068	-0.1485	0.0071	0.0071	-0.1468	0.0086	0.0086	-0.145	0.0102	0.0102	-0.1429	0.0111	0.0111	-0.1498	0.0072	0.0072	-0.1516	0.0088	0.0088	-0.158	0.0094	0.0094	-0.1594	0.0102	0.0102	-0.1608	0.011	0.011	-0.1603	0.0096	0.0096	-0.1621	0.01	0.01	-0.1639	0.0104	0.0104	-0.167	0.0095	0.0095	-0.168	0.0111	0.0111
-0.1127	0.0026	0.0026	-0.1228	0.0032	0.0032	-0.1352	0.0039	0.0039	-0.1475	0.0047	0.0047	-0.1599	0.0055	0.0055	-0.1627	0.0058	0.0058	-0.1609	0.0076	0.0076	-0.159	0.0094	0.0094	-0.1571	0.0112	0.0112	-0.164	0.0073	0.0073	-0.166	0.0091	0.0091	-0.1695	0.0094	0.0094	-0.173	0.0098	0.0098	-0.1764	0.0101	0.0101	-0.1738	0.0087	0.0087	-0.1764	0.0091	0.0091	-0.1789	0.0095	0.0095	-0.1815	0.0099	0.0099	-0.1824	0.0111	0.0111
-0.1271	0.0023	0.0023	-0.1386	0.0032	0.0032	-0.1501	0.0041	0.0041	-0.1615	0.005	0.005	-0.1729	0.006	0.006	-0.1787	0.0059	0.0059	-0.1779	0.0072	0.0072	-0.1771	0.0084	0.0084	-0.1763	0.0096	0.0096	-0.179	0.0085	0.0085	-0.1814	0.0089	0.0089	-0.1838	0.0092	0.0092	-0.1863	0.0095	0.0095	-0.1887	0.0098	0.0098	-0.1883	0.0098	0.0098	-0.1902	0.0105	0.0105	-0.1922	0.0111	0.0111	-0.1941	0.0119	0.0119	-0.196	0.0125	0.0125
