0.000	22389.000
0.000	4777.000
0.000	2203.000
0.000	4862.000
0.000	362.000
1.000	2966.000
0.000	2150.000
0.000	5641.000
0.000	2143.000
1.000	2970.000
0.000	4967.000
0.000	2199.000
0.000	4826.000
0.000	658.000
0.000	4706.000
0.000	337.000
0.000	4628.000
0.000	646.000
1.000	3450.000
0.000	737.000
1.000	3462.000
0.000	733.000
1.000	3467.000
0.000	733.000
1.000	3464.000
0.000	734.000
1.000	3465.000
0.000	338.000
0.000	737.000
0.000	334.000
1.000	3453.000
0.000	735.000
1.000	3464.000
0.000	736.000
1.000	3463.000
0.000	736.000
1.000	3462.000
0.000	740.000
1.000	3458.000
0.000	435.000
0.000	734.000
0.000	434.000
1.000	3465.000
0.000	737.000
1.000	3463.000
0.000	734.000
1.000	3464.000
0.000	733.000
1.000	3466.000
0.000	735.000
1.000	3462.000
0.000	335.000
0.000	736.000
0.000	337.000
1.000	3455.000
0.000	763.000
1.000	3435.000
0.000	710.000
1.000	3440.000
0.000	736.000
1.000	3461.000
0.000	739.000
1.000	3461.000
0.000	435.000
0.000	735.000
0.000	438.000
1.000	3460.000
0.000	736.000
1.000	3463.000
0.000	735.000
1.000	3461.000
0.000	736.000
1.000	3462.000
0.000	737.000
1.000	3462.000
