0.000	18582.000
1.000	1742.000
0.000	735.000
1.000	1740.000
0.000	735.000
1.000	1741.000
0.000	736.000
1.000	1741.000
0.000	739.000
1.000	1739.000
0.000	435.000
0.000	734.000
0.000	3102.000
1.000	1743.000
0.000	735.000
1.000	1739.000
0.000	736.000
1.000	1740.000
0.000	735.000
1.000	1738.000
0.000	739.000
1.000	1741.000
0.000	437.000
0.000	734.000
0.000	3102.000
1.000	1743.000
0.000	736.000
1.000	1739.000
0.000	736.000
1.000	1739.000
0.000	734.000
1.000	1741.000
0.000	735.000
1.000	1741.000
0.000	435.000
0.000	736.000
0.000	3104.000
1.000	1739.000
0.000	736.000
1.000	1741.000
0.000	737.000
1.000	1739.000
0.000	734.000
1.000	1741.000
0.000	735.000
1.000	1740.000
0.000	437.000
0.000	738.000
0.000	3102.000
1.000	1740.000
0.000	735.000
1.000	1742.000
0.000	737.000
1.000	1740.000
0.000	736.000
1.000	1740.000
0.000	737.000
1.000	1739.000
0.000	436.000
