0.0000	0.0000	0.0000	-0.0028	0.0004	0.0004	-0.0056	0.0008	0.0008	-0.0085	0.0012	0.0012	-0.0113	0.0016	0.0016	-0.0115	0.0006	0.0006	-0.0137	0.0009	0.0009	-0.0158	0.0012	0.0012	-0.0180	0.0015	0.0015	-0.0202	0.0019	0.0019
-0.0008	-0.0008	-0.0008	-0.0049	-0.0014	-0.0014	-0.0076	-0.0012	-0.0012	-0.0104	-0.0009	-0.0009	-0.0132	-0.0006	-0.0006	-0.0111	-0.0032	-0.0032	-0.0139	-0.0026	-0.0026	-0.0166	-0.0021	-0.0021	-0.0193	-0.0015	-0.0015	-0.0207	0.0016	0.0016
-0.0017	-0.0016	-0.0016	-0.0054	-0.0020	-0.0020	-0.0120	-0.0016	-0.0016	-0.0127	-0.0020	-0.0020	-0.0135	-0.0025	-0.0025	-0.0129	-0.0030	-0.0030	-0.0154	-0.0025	-0.0025	-0.0179	-0.0020	-0.0020	-0.0201	-0.0015	-0.0015	-0.0212	0.0013	0.0013
-0.0025	-0.0024	-0.0024	-0.0059	-0.0025	-0.0025	-0.0120	-0.0019	-0.0019	-0.0155	-0.0010	-0.0010	-0.0147	-0.0013	-0.0013	-0.0134	-0.0022	-0.0022	-0.0160	-0.0019	-0.0019	-0.0183	-0.0015	-0.0015	-0.0209	-0.0015	-0.0015	-0.0218	0.0010	0.0010
-0.0034	-0.0032	-0.0032	-0.0064	-0.0031	-0.0031	-0.0121	-0.0023	-0.0023	-0.0169	-0.0013	-0.0013	-0.0154	-0.0010	-0.0010	-0.0122	-0.0044	-0.0044	-0.0165	-0.0019	-0.0019	-0.0186	-0.0010	-0.0010	-0.0217	-0.0016	-0.0016	-0.0223	0.0007	0.0007
-0.0044	-0.0029	-0.0029	-0.0060	-0.0015	-0.0015	-0.0112	-0.0018	-0.0018	-0.0160	-0.0018	-0.0018	-0.0145	-0.0009	-0.0009	-0.0144	-0.0014	-0.0014	-0.0161	-0.0015	-0.0015	-0.0186	-0.0015	-0.0015	-0.0211	-0.0009	-0.0009	-0.0223	0.0014	0.0014
-0.0042	-0.0027	-0.0027	-0.0059	-0.0013	-0.0013	-0.0117	-0.0011	-0.0011	-0.0158	0.0007	0.0007	-0.0146	0.0003	0.0003	-0.0125	0.0000	0.0000	-0.0161	0.0009	0.0009	-0.0183	-0.0005	-0.0005	-0.0212	-0.0006	-0.0006	-0.0222	0.0013	0.0013
-0.0040	-0.0026	-0.0026	-0.0058	-0.0010	-0.0010	-0.0122	-0.0004	-0.0004	-0.0136	0.0004	0.0004	-0.0150	0.0012	0.0012	-0.0145	-0.0002	-0.0002	-0.0163	0.0002	0.0002	-0.0181	0.0006	0.0006	-0.0212	-0.0003	-0.0003	-0.0222	0.0013	0.0013
-0.0037	-0.0025	-0.0025	-0.0057	-0.0007	-0.0007	-0.0092	-0.0004	-0.0004	-0.0127	0.0000	0.0000	-0.0161	0.0003	0.0003	-0.0135	-0.0011	-0.0011	-0.0161	-0.0007	-0.0007	-0.0186	-0.0003	-0.0003	-0.0212	0.0001	0.0001	-0.0221	0.0013	0.0013
-0.0035	-0.0024	-0.0024	-0.0061	-0.0019	-0.0019	-0.0087	-0.0014	-0.0014	-0.0113	-0.0010	-0.0010	-0.0139	-0.0005	-0.0005	-0.0150	-0.0026	-0.0026	-0.0167	-0.0016	-0.0016	-0.0185	-0.0007	-0.0007	-0.0203	0.0003	0.0003	-0.0220	0.0012	0.0012
