0	0	3687
1	0	3696
2	0	288
3	0	3722
4	0	305
5	1	2168
6	0	214
7	0	4324
8	0	213
9	1	2161
10	0	2561
11	0	289
12	0	3741
13	0	528
14	0	3608
15	0	290
16	0	3567
17	0	519
18	1	2587
19	0	586
20	1	2586
21	0	587
22	1	2589
23	0	587
24	1	2586
25	0	588
26	1	2586
27	0	288
28	0	585
29	0	287
30	1	2579
31	0	586
32	1	2589
33	0	588
34	1	2586
35	0	587
36	1	2592
37	0	585
38	1	2583
39	0	361
40	0	591
41	0	361
42	1	2580
43	0	586
44	1	2588
45	0	585
46	1	2588
47	0	586
48	1	2589
49	0	589
50	1	2588
51	0	284
52	0	588
53	0	287
54	1	2576
55	0	608
56	1	2573
57	0	565
58	1	2602
59	0	586
60	1	2589
61	0	587
62	1	2588
63	0	362
64	0	587
65	0	362
66	1	2580
67	0	588
68	1	2586
69	0	590
70	1	2584
71	0	588
72	1	2586
73	0	587
74	1	2590
